SynId,NeuronType,NeuronId,SynType,UMAP_1,UMAP_2,Cluster,clusterid
15,parvalbumin,pv3,as,-0.44717258,8.590793,3,as
16,parvalbumin,pv3,as,-1.4784869,8.902571,3,as
17,parvalbumin,pv3,as,-0.52081394,8.61116,3,as
18,parvalbumin,pv3,as,0.19220012,8.401574,3,as
19,parvalbumin,pv3,as,-1.4945928,9.11718,3,as
20,parvalbumin,pv3,as,-1.4276152,9.119929,3,as
21,parvalbumin,pv3,as,-1.4418235,9.091227,3,as
22,parvalbumin,pv3,as,-1.4544992,9.037521,3,as
23,parvalbumin,pv3,as,-1.4783858,9.075184,3,as
24,parvalbumin,pv3,as,-0.53345114,9.056022,3,as
25,parvalbumin,pv3,as,-1.3668025,9.184017,3,as
26,parvalbumin,pv3,as,-0.7529597,9.165372,3,as
27,parvalbumin,pv3,as,-1.2706226,9.279188,3,as
28,parvalbumin,pv3,as,0.3274992,8.382213,3,as
29,parvalbumin,pv3,as,0.31543112,8.367964,3,as
30,parvalbumin,pv3,as,-0.50959724,9.405023,3,as
31,parvalbumin,pv3,as,-0.3750915,9.157573,3,as
32,parvalbumin,pv3,as,-0.5420055,9.632678,3,as
33,parvalbumin,pv3,as,-0.9012286,9.542248,3,as
34,parvalbumin,pv3,as,0.003710598,8.613939,3,as
35,parvalbumin,pv3,as,-0.41081604,9.296678,3,as
36,parvalbumin,pv3,as,-0.273052,9.288819,3,as
37,parvalbumin,pv3,as,-0.46320057,9.690374,3,as
38,parvalbumin,pv3,as,0.0685359,8.628948,3,as
39,parvalbumin,pv3,as,0.13992831,8.628709,3,as
40,parvalbumin,pv3,as,-0.41146722,9.784987,3,as
41,parvalbumin,pv3,as,0.1008485,8.625598,3,as
42,parvalbumin,pv3,as,-0.1834176,9.441622,3,as
43,parvalbumin,pv3,as,-0.39871868,9.814503,3,as
44,parvalbumin,pv3,as,-0.4670958,9.813208,3,as
45,parvalbumin,pv3,as,-0.41575202,9.782349,3,as
46,parvalbumin,pv3,as,0.4515096,8.43408,3,as
47,parvalbumin,pv3,as,-0.22993416,9.728221,3,as
48,parvalbumin,pv3,as,-0.5335528,9.809346,3,as
49,parvalbumin,pv3,as,0.47289968,8.510617,3,as
50,parvalbumin,pv3,as,-0.5329646,9.750239,3,as
51,parvalbumin,pv3,as,0.10676843,9.67254,3,as
52,parvalbumin,pv3,as,0.109326415,9.654614,3,as
53,parvalbumin,pv3,as,0.10678281,9.624329,3,as
54,parvalbumin,pv3,as,0.15943384,9.843916,3,as
55,parvalbumin,pv3,as,0.66889036,8.675318,3,as
56,parvalbumin,pv3,as,0.40481284,9.873847,3,as
57,parvalbumin,pv3,as,0.654009,8.5945635,3,as
58,parvalbumin,pv3,as,1.2868192,9.893531,3,as
59,parvalbumin,pv3,as,1.1192467,9.0315075,3,as
60,parvalbumin,pv3,as,1.2162238,9.167287,3,as
61,parvalbumin,pv3,as,1.4249786,9.843464,3,as
62,parvalbumin,pv3,as,0.83376366,8.592782,3,as
63,parvalbumin,pv3,as,1.2051824,9.028593,3,as
64,parvalbumin,pv3,as,1.5508842,9.395343,3,as
